Expression hash,Count,Expression string
17112577,31,"Int * LongLong"
67444225,10,"Long * LongLong"
84221441,8,"LongLong * LongLong"
16850689,5707,"Int / Int"
352396801,160,"_Type cast Int"
352658945,38,"_Type cast LongLong"
16852737,102,"arr<Int>[Int]"
251733761,96,"arr<Pointer>[Int]"
17114881,4,"arr<Int>[LongLong]"
73986,5876,"Int++"
991490,142,"Pointer++"
74242,1,"Int--"
991746,90,"Pointer--"
16843267,5733,"ret<Int> = Int"
17105411,7,"ret<Int> = LongLong"
70400,44925,"&Int"
1118976,14975,"&Struct"
72960,14996,"-Int"
990720,44925,"*Pointer"
73984,14975,"++Int"
992000,14975,"!Pointer"
16843265,138983,"var<Int> = Int"
251724289,14975,"var<Pointer> = Int"
17302017,1497500,"var<Int> = UnsignedChar"
252641793,1877644,"var<Pointer> = Pointer"
16843521,20,"Int += Int"
134286337,10000,"UnsignedChar ^= Int"
83954945,1,"LongLong ? Int"
16846337,1,"Int : Int"
84217601,1497500,"LongLong || LongLong"
16847873,1512516,"Int == Int"
16848129,1497500,"Int != Int"
16848385,1524717,"Int < Int"
16848641,1512495,"Int > Int"
16849153,14975,"Int >= Int"
16849921,1527410,"Int + Int"
16850689,1,"Int / Int"
16850945,20,"Int % Int"
352396801,1,"_Type cast Int"
134293249,1507500,"arr<UnsignedChar>[Int]"
268510977,1507500,"arr<Array>[Int]"
285288193,3043945,"arr<Struct>[Int]"
73986,1524615,"Int++"
74242,14975,"Int--"
16843267,29992,"ret<Int> = Int"
72960,17280,"-Int"
335104,16200,"-LongLong"
793856,32,"-Double"
73984,347564,"++Int"
16843265,142180,"var<Int> = Int"
185270785,31674,"var<Float> = Float"
16843521,197068,"Int += Int"
251724545,12,"Pointer += Int"
17498881,64,"Int += Float"
185271041,170280,"Float += Float"
16843777,24,"Int -= Int"
184616193,4096,"Float *= Int"
16844289,12,"Int /= Int"
83954945,19441,"LongLong ? Int"
84217089,16200,"LongLong ? LongLong"
69121,5432,"Void : Int"
16846337,14009,"Int : Int"
331265,4776,"Void : LongLong"
84217345,11424,"LongLong : LongLong"
16847873,1081,"Int == Int"
16848129,1352,"Int != Int"
16848385,297465,"Int < Int"
16848641,2160,"Int > Int"
16848897,96888,"Int <= Int"
16849153,16200,"Int >= Int"
83958017,16200,"LongLong >= Int"
16849921,104028,"Int + Int"
84220929,8100,"LongLong + LongLong"
16850177,2732,"Int - Int"
17112321,16200,"Int - LongLong"
16850433,7890,"Int * Int"
185277953,162180,"Float * Float"
16850689,1194,"Int / Int"
16850945,2002,"Int % Int"
184624897,4160,"arr<Float>[Int]"
251733761,353972,"arr<Pointer>[Int]"
251995905,8100,"arr<Pointer>[LongLong]"
73986,15480,"Int++"
16843267,2,"ret<Int> = Int"
135936,1,"&Short"
1118976,257,"&Struct"
72960,3882,"-Int"
138496,6656,"-Short"
269568,256,"-Long"
990720,13146,"*Pointer"
73984,18432,"++Int"
16843265,12465,"var<Int> = Int"
33620481,9015,"var<Short> = Int"
50397697,513,"var<Char> = Int"
67174913,1,"var<Long> = Int"
100729345,1,"var<UnsignedInt> = Int"
134283777,256,"var<UnsignedChar> = Int"
33686017,2612,"var<Short> = Short"
17105409,790,"var<Int> = LongLong"
33882625,12288,"var<Short> = LongLong"
33948161,256,"var<Short> = UnsignedInt"
134611457,96,"var<UnsignedChar> = UnsignedInt"
101188097,96,"var<UnsignedInt> = UnsignedChar"
252641793,1,"var<Pointer> = Pointer"
16843521,1792,"Int += Int"
33620737,1990,"Short += Int"
100729601,256,"UnsignedInt += Int"
17105665,10,"Int += LongLong"
33882881,817,"Short += LongLong"
67437313,256,"Long += LongLong"
17171201,256,"Int += UnsignedInt"
16843777,96,"Int -= Int"
33620993,231,"Short -= Int"
33883137,1792,"Short -= LongLong"
16844801,183,"Int <<= Int"
100731137,96,"UnsignedInt >>= Int"
100993793,256,"UnsignedInt |= LongLong"
134286337,256,"UnsignedChar ^= Int"
16846081,512,"Int ? Int"
83954945,6912,"LongLong ? Int"
33688833,256,"Short ? Short"
17108225,12,"Int ? LongLong"
84217089,4596,"LongLong ? LongLong"
69121,777,"Void : Int"
16846337,2550,"Int : Int"
33623553,1,"Short : Int"
134657,500,"Void : Short"
16911873,2060,"Int : Short"
331265,6376,"Void : LongLong"
17108481,12,"Int : LongLong"
84217345,12,"LongLong : LongLong"
16847361,2048,"Int ^ Int"
16912897,1536,"Int ^ Short"
33690113,512,"Short ^ Short"
16847617,5888,"Int & Int"
33624833,768,"Short & Int"
83956481,4864,"LongLong & Int"
100733697,352,"UnsignedInt & Int"
134288129,512,"UnsignedChar & Int"
16847873,1794,"Int == Int"
33625089,2560,"Short == Int"
50402305,1024,"Char == Int"
16848129,513,"Int != Int"
16848385,28686,"Int < Int"
33625601,1536,"Short < Int"
16913921,12890,"Int < Short"
16848641,4363,"Int > Int"
33625857,561,"Short > Int"
33691393,256,"Short > Short"
33626113,256,"Short <= Int"
33691649,48,"Short <= Short"
16849153,2048,"Int >= Int"
33626369,4574,"Short >= Int"
16849409,1024,"Int << Int"
33626625,4352,"Short << Int"
134289921,256,"UnsignedChar << Int"
16914945,256,"Int << Short"
33692161,2048,"Short << Short"
16849665,5642,"Int >> Int"
33626881,7484,"Short >> Int"
67181313,779,"Long >> Int"
83958529,768,"LongLong >> Int"
100735745,256,"UnsignedInt >> Int"
33692417,2048,"Short >> Short"
84024065,1024,"LongLong >> Short"
16849921,2656,"Int + Int"
33627137,256,"Short + Int"
83958785,256,"LongLong + Int"
16915457,256,"Int + Short"
33692673,512,"Short + Short"
84024321,256,"LongLong + Short"
17112065,512,"Int + LongLong"
33889281,2560,"Short + LongLong"
84220929,768,"LongLong + LongLong"
16850177,3767,"Int - Int"
33627393,523,"Short - Int"
83959041,2814,"LongLong - Int"
16915713,1536,"Int - Short"
84024577,256,"LongLong - Short"
33889537,512,"Short - LongLong"
16850433,10,"Int * Int"
33627649,2048,"Short * Int"
352855553,256,"_Type cast UnsignedChar"
33629953,17733,"arr<Short>[Int]"
100738817,864,"arr<UnsignedInt>[Int]"
33695489,768,"arr<Short>[Short]"
73986,3592,"Int++"
991490,12890,"Pointer++"
74242,1280,"Int--"
16843267,6168,"ret<Int> = Int"
16908803,745,"ret<Int> = Short"
17105411,513,"ret<Int> = LongLong"
1053440,3,"&Array"
1118976,1,"&Struct"
72960,13,"-Int"
990720,17574,"*Pointer"
401664,17574,"++UnsignedInt"
991488,17574,"++Pointer"
74496,272,"!Int"
1058048,17577,"sizeofArray"
16843265,1605,"var<Int> = Int"
33620481,8,"var<Short> = Int"
50397697,257,"var<Char> = Int"
100729345,5,"var<UnsignedInt> = Int"
17105409,1,"var<Int> = LongLong"
252641793,3,"var<Pointer> = Pointer"
16843521,128,"Int += Int"
134417409,17574,"UnsignedChar ^= Char"
83954945,1536,"LongLong ? Int"
69121,1024,"Void : Int"
16846337,512,"Int : Int"
16847617,256,"Int & Int"
33625089,128,"Short == Int"
16848129,9,"Int != Int"
16848385,929,"Int < Int"
100996609,17577,"UnsignedInt < LongLong"
16848641,1024,"Int > Int"
16849665,1,"Int >> Int"
16849921,2481,"Int + Int"
16980993,256,"Int + Char"
50535425,1,"Char + Char"
16850177,1282,"Int - Int"
16850433,769,"Int * Int"
16915969,512,"Int * Short"
16850689,2502,"Int / Int"
16850945,928,"Int % Int"
353314305,3,"_Type cast Pointer"
16852737,128,"arr<Int>[Int]"
33629953,512,"arr<Short>[Int]"
50407169,514,"arr<Char>[Int]"
268510977,2054,"arr<Array>[Int]"
73986,332,"Int++"
16843267,1,"ret<Int> = Int"
17105411,1,"ret<Int> = LongLong"
1118976,77,"&Struct"
74496,61,"!Int"
336640,88,"!LongLong"
16843265,3,"var<Int> = Int"
100729345,1269,"var<UnsignedInt> = Int"
134283777,8585,"var<UnsignedChar> = Int"
251724289,154,"var<Pointer> = Int"
50528769,600,"var<Char> = Char"
100991489,187,"var<UnsignedInt> = LongLong"
101057025,462,"var<UnsignedInt> = UnsignedInt"
134742529,305,"var<UnsignedChar> = UnsignedChar"
252641793,3792,"var<Pointer> = Pointer"
134284033,60,"UnsignedChar += Int"
100729857,15,"UnsignedInt -= Int"
101057537,34,"UnsignedInt -= UnsignedInt"
134611969,88,"UnsignedChar -= UnsignedInt"
84217857,148,"LongLong && LongLong"
83956481,2899,"LongLong & Int"
100733697,359,"UnsignedInt & Int"
84218625,88,"LongLong & LongLong"
134550273,252,"UnsignedChar & LongLong"
100733953,3456,"UnsignedInt == Int"
251728897,252,"Pointer == Int"
100734209,601,"UnsignedInt != Int"
50533633,600,"Char != Char"
16848385,601,"Int < Int"
100734465,8739,"UnsignedInt < Int"
134288897,148,"UnsignedChar < Int"
100734977,1374,"UnsignedInt <= Int"
16849153,61,"Int >= Int"
100735233,54,"UnsignedInt >= Int"
101193985,88,"UnsignedInt >= UnsignedChar"
100735489,60,"UnsignedInt << Int"
17177089,340,"Int << UnsignedInt"
101063169,88,"UnsignedInt << UnsignedInt"
100735745,650,"UnsignedInt >> Int"
101063425,88,"UnsignedInt >> UnsignedInt"
101194497,2540,"UnsignedInt >> UnsignedChar"
83958785,60,"LongLong + Int"
100736001,39,"UnsignedInt + Int"
84220929,88,"LongLong + LongLong"
83959041,88,"LongLong - Int"
100736257,543,"UnsignedInt - Int"
134618369,88,"UnsignedChar - UnsignedInt"
352724481,49,"_Type cast UnsignedInt"
50407169,1200,"arr<Char>[Int]"
134293249,419,"arr<UnsignedChar>[Int]"
251733761,600,"arr<Pointer>[Int]"
285288193,1,"arr<Struct>[Int]"
134555393,252,"arr<UnsignedChar>[LongLong]"
134620929,8273,"arr<UnsignedChar>[UnsignedInt]"
285615873,9668,"arr<Struct>[UnsignedInt]"
73986,1619,"Int++"
401666,9328,"UnsignedInt++"
401922,301,"UnsignedInt--"
532994,2540,"UnsignedChar--"
16843267,2,"ret<Int> = Int"
17105411,61,"ret<Int> = LongLong"
134545923,2899,"ret<UnsignedChar> = LongLong"
101057027,88,"ret<UnsignedInt> = UnsignedInt"
17302019,419,"ret<Int> = UnsignedChar"
252641795,1,"ret<Pointer> = Pointer"
70400,12672,"&Int"
529152,1,"&UnsignedChar"
72960,4529287,"-Int"
990720,1814912,"*Pointer"
401664,90112,"++UnsignedInt"
991488,90112,"++Pointer"
74496,602559,"!Int"
1058048,90113,"sizeofArray"
16843265,16146125,"var<Int> = Int"
50397697,1,"var<Char> = Int"
100729345,353,"var<UnsignedInt> = Int"
17105409,4197248,"var<Int> = LongLong"
101057025,352,"var<UnsignedInt> = UnsignedInt"
101188097,90112,"var<UnsignedInt> = UnsignedChar"
252641793,768525,"var<Pointer> = Pointer"
16843521,12872345,"Int += Int"
251724545,1411616,"Pointer += Int"
101057281,180224,"UnsignedInt += UnsignedInt"
16843777,1648839,"Int -= Int"
16844801,7040,"Int <<= Int"
134417409,90112,"UnsignedChar ^= Char"
16846081,2112,"Int ? Int"
83954945,3520,"LongLong ? Int"
69121,1760,"Void : Int"
16846337,3872,"Int : Int"
83955713,19328,"LongLong && Int"
17108993,26067,"Int && LongLong"
84217857,1718614,"LongLong && LongLong"
16847617,64748,"Int & Int"
16847873,1408,"Int == Int"
16848129,1,"Int != Int"
16848385,17697150,"Int < Int"
17110529,7040,"Int < LongLong"
100996609,90113,"UnsignedInt < LongLong"
16848641,17952,"Int > Int"
16848897,1033328,"Int <= Int"
16849153,5775091,"Int >= Int"
16849409,17600,"Int << Int"
16849665,73196,"Int >> Int"
83958529,180224,"LongLong >> Int"
100735745,4360576,"UnsignedInt >> Int"
16849921,9293632,"Int + Int"
83958785,180224,"LongLong + Int"
251730945,530048,"Pointer + Int"
17112065,7040,"Int + LongLong"
84220929,180224,"LongLong + LongLong"
251993089,64748,"Pointer + LongLong"
17308673,4611584,"Int + UnsignedChar"
134749185,4360576,"UnsignedChar + UnsignedChar"
16850177,163709,"Int - Int"
17112321,8448,"Int - LongLong"
84221185,1408,"LongLong - LongLong"
101063937,352,"UnsignedInt - UnsignedInt"
84417793,4180352,"LongLong - UnsignedChar"
134749441,10336944,"UnsignedChar - UnsignedChar"
16850433,1914688,"Int * Int"
17112577,30262,"Int * LongLong"
84221441,2112,"LongLong * LongLong"
101064193,90464,"UnsignedInt * UnsignedInt"
100736769,352,"UnsignedInt / Int"
352396801,4360576,"_Type cast Int"
353314305,1,"_Type cast Pointer"
16852737,12672,"arr<Int>[Int]"
134293249,1,"arr<UnsignedChar>[Int]"
251733761,36564960,"arr<Pointer>[Int]"
268510977,18304,"arr<Array>[Int]"
285288193,2816,"arr<Struct>[Int]"
73986,5806723,"Int++"
991490,1712480,"Pointer++"
74242,239360,"Int--"
16843267,283159,"ret<Int> = Int"
17105411,1,"ret<Int> = LongLong"
17170947,352,"ret<Int> = UnsignedInt"
70400,1,"&Int"
594688,16,"&UnsignedLong"
1118976,17,"&Struct"
72960,1,"-Int"
990720,4436,"*Pointer"
16843265,203,"var<Int> = Int"
100729345,2,"var<UnsignedInt> = Int"
151060993,36,"var<UnsignedLong> = Int"
16974337,128,"var<Int> = Char"
50528769,106,"var<Char> = Char"
17039873,128,"var<Int> = Long"
151257601,36,"var<UnsignedLong> = Long"
17105409,256,"var<Int> = LongLong"
151323137,2435,"var<UnsignedLong> = LongLong"
50921985,128,"var<Char> = UnsignedLong"
151585281,1027,"var<UnsignedLong> = UnsignedLong"
151650817,44,"var<UnsignedLong> = UnsignedLongLong"
252707329,32,"var<Pointer> = Array"
286327297,32,"var<Struct> = Struct"
151062529,31,"UnsignedLong <<= Int"
151062785,128,"UnsignedLong >>= Int"
151063297,16,"UnsignedLong |= Int"
151587841,64,"UnsignedLong ^= UnsignedLong"
83954945,16,"LongLong ? Int"
151063809,784,"UnsignedLong ? Int"
151260417,952,"UnsignedLong ? Long"
69121,688,"Void : Int"
16846337,112,"Int : Int"
265729,909,"Void : Long"
67374593,43,"Long : Long"
84217601,48,"LongLong || LongLong"
83955969,768,"LongLong | Int"
84087041,128,"LongLong | Char"
151326977,56,"UnsignedLong | LongLong"
151458049,768,"UnsignedLong | UnsignedShort"
84480257,28,"LongLong | UnsignedLong"
151589121,156,"UnsignedLong | UnsignedLong"
16847617,768,"Int & Int"
151261953,184,"UnsignedLong & Long"
151589633,1736,"UnsignedLong & UnsignedLong"
16847873,80,"Int == Int"
151065857,1,"UnsignedLong != Int"
100734465,108,"UnsignedInt < Int"
16848897,1134,"Int <= Int"
16849153,1311,"Int >= Int"
16849409,256,"Int << Int"
151067137,2448,"UnsignedLong << Int"
16849665,384,"Int >> Int"
151067393,16,"UnsignedLong >> Int"
167844609,56,"UnsignedLongLong >> Int"
83958785,128,"LongLong + Int"
151067649,1,"UnsignedLong + Int"
84220929,400,"LongLong + LongLong"
84483073,16,"LongLong + UnsignedLong"
151591937,1,"UnsignedLong + UnsignedLong"
16850177,492,"Int - Int"
16850433,4,"Int * Int"
352921089,832,"_Type cast UnsignedLong"
50407169,1336,"arr<Char>[Int]"
67184385,912,"arr<Long>[Int]"
151070465,984,"arr<UnsignedLong>[Int]"
268510977,256,"arr<Array>[Int]"
285288193,48,"arr<Struct>[Int]"
251930369,784,"arr<Pointer>[Long]"
50734849,212,"arr<Char>[UnsignedInt]"
73986,215,"Int++"
401666,106,"UnsignedInt++"
74242,2360,"Int--"
16843267,1,"ret<Int> = Int"
151257603,952,"ret<UnsignedLong> = Long"
17105411,1,"ret<Int> = LongLong"
72960,1,"-Int"
73984,14,"++Int"
16843265,5,"var<Int> = Int"
67174913,1,"var<Long> = Int"
17040129,14,"Int += Long"
83954945,1,"LongLong ? Int"
16846337,1,"Int : Int"
84217857,144,"LongLong && LongLong"
17044481,1,"Int == Long"
67376129,92,"Long == Long"
16848385,17,"Int < Int"
16848641,3,"Int > Int"
16848897,52,"Int <= Int"
16849153,52,"Int >= Int"
16849921,52,"Int + Int"
67184385,198,"arr<Long>[Int]"
74242,2,"Int--"
16843267,2,"ret<Int> = Int"
205568,998,"!Char"
16843265,1403,"var<Int> = Int"
50397697,1920,"var<Char> = Int"
151060993,5,"var<UnsignedLong> = Int"
50528769,9000,"var<Char> = Char"
151585537,64,"UnsignedLong += UnsignedLong"
50532097,1,"Char || Char"
50663169,1,"Char || LongLong"
84086785,200,"LongLong && Char"
50663425,198,"Char && LongLong"
84217857,205,"LongLong && LongLong"
151589889,1,"UnsignedLong == UnsignedLong"
16848129,1,"Int != Int"
151065857,5,"UnsignedLong != Int"
50533633,400,"Char != Char"
16848385,101,"Int < Int"
16849153,65,"Int >= Int"
151066881,5,"UnsignedLong >= Int"
50403841,64,"Char << Int"
151592193,5,"UnsignedLong - UnsignedLong"
352658945,64,"_Type cast LongLong"
50407169,4268,"arr<Char>[Int]"
73986,100,"Int++"
205058,100,"Char++"
74242,64,"Int--"
16843267,1,"ret<Int> = Int"
17105411,1,"ret<Int> = LongLong"
16843265,7,"var<Int> = Int"
16848385,183,"Int < Int"
16850177,1,"Int - Int"
73986,360,"Int++"
16843267,5,"ret<Int> = Int"
201472,1,"&Char"
990720,186,"*Pointer"
401664,100,"++UnsignedInt"
991488,100,"++Pointer"
74240,6,"--Int"
1058048,101,"sizeofArray"
16843265,2,"var<Int> = Int"
50397697,101,"var<Char> = Int"
100729345,1,"var<UnsignedInt> = Int"
50528769,43,"var<Char> = Char"
252641793,1,"var<Pointer> = Pointer"
134417409,100,"UnsignedChar ^= Char"
16848129,1,"Int != Int"
16848385,101,"Int < Int"
100996609,101,"UnsignedInt < LongLong"
16848641,6,"Int > Int"
16849921,1,"Int + Int"
16850177,100,"Int - Int"
50404609,1,"Char - Int"
16850689,1,"Int / Int"
16850945,1,"Int % Int"
353314305,1,"_Type cast Pointer"
50407169,2,"arr<Char>[Int]"
251733761,100,"arr<Pointer>[Int]"
73986,100,"Int++"
991490,86,"Pointer++"
16843267,1,"ret<Int> = Int"
17105411,1,"ret<Int> = LongLong"
70400,705431,"&Int"
990720,33860688,"*Pointer"
16843265,1427511,"var<Int> = Int"
252641793,705431,"var<Pointer> = Pointer"
16843521,33860688,"Int += Int"
251724545,33860688,"Pointer += Int"
16845057,2821724,"Int >>= Int"
16848129,1,"Int != Int"
16848385,3535867,"Int < Int"
16849921,8192,"Int + Int"
16850177,1,"Int - Int"
16850433,8192,"Int * Int"
16850945,8192,"Int % Int"
16852737,713623,"arr<Int>[Int]"
268510977,713623,"arr<Array>[Int]"
73986,2830172,"Int++"
16843267,8193,"ret<Int> = Int"
17105411,1,"ret<Int> = LongLong"
